geometry_msgs.msg.Point(x=-0.02396317388649649, y=0.0005339490647386924, z=0.0)
geometry_msgs.msg.Point(x=-0.060470590201983754, y=-0.011699022308953033, z=0.0)
geometry_msgs.msg.Point(x=-0.08446198460245213, y=-0.018727220655868848, z=0.0)
geometry_msgs.msg.Point(x=-0.10757905037661075, y=-0.028247942233285528, z=0.0)
geometry_msgs.msg.Point(x=-0.12948075358383093, y=-0.04030238577228573, z=0.0)
geometry_msgs.msg.Point(x=-0.15034714793773318, y=-0.05407039134853875, z=0.0)
geometry_msgs.msg.Point(x=-0.1712402451728927, y=-0.06779948701210259, z=0.0)
geometry_msgs.msg.Point(x=-0.19203568615659705, y=-0.08167582999231371, z=0.0)
geometry_msgs.msg.Point(x=-0.2127327079493817, y=-0.09569865734970762, z=0.0)
geometry_msgs.msg.Point(x=-0.23340607861876705, y=-0.10975581698300374, z=0.0)
geometry_msgs.msg.Point(x=-0.25405045758850164, y=-0.12385570122631151, z=0.0)
geometry_msgs.msg.Point(x=-0.27467957776894636, y=-0.1379784736535541, z=0.0)
geometry_msgs.msg.Point(x=-0.2952461369133026, y=-0.15219203587707142, z=0.0)
geometry_msgs.msg.Point(x=-0.3158165107549813, y=-0.1663987316454083, z=0.0)
geometry_msgs.msg.Point(x=-0.33637009992844114, y=-0.18063136735553798, z=0.0)
geometry_msgs.msg.Point(x=-0.35689317152332123, y=-0.19490749061514379, z=0.0)
geometry_msgs.msg.Point(x=-0.37742234663391727, y=-0.20917522154064017, z=0.0)
geometry_msgs.msg.Point(x=-0.3979660175943387, y=-0.22342159016113072, z=0.0)
geometry_msgs.msg.Point(x=-0.41851960676779854, y=-0.2376526999923314, z=0.0)
geometry_msgs.msg.Point(x=-0.4391075282171606, y=-0.2518349816978045, z=0.0)
geometry_msgs.msg.Point(x=-0.4597526701263597, y=-0.26593410300164777, z=0.0)
geometry_msgs.msg.Point(x=-0.480429092553603, y=-0.2799874479376214, z=0.0)
geometry_msgs.msg.Point(x=-0.5011066593900431, y=-0.2940385040552016, z=0.0)
geometry_msgs.msg.Point(x=-0.521802536773631, y=-0.3080628572915245, z=0.0)
geometry_msgs.msg.Point(x=-0.5425113841281153, y=-0.32206737410177055, z=0.0)
geometry_msgs.msg.Point(x=-0.5632259535285833, y=-0.3360642615173717, z=0.0)
geometry_msgs.msg.Point(x=-0.5839325120646741, y=-0.3500725930249402, z=0.0)
geometry_msgs.msg.Point(x=-0.6046512776321968, y=-0.3640633769248254, z=0.0)
geometry_msgs.msg.Point(x=-0.625379961412758, y=-0.3780389020354207, z=0.0)
geometry_msgs.msg.Point(x=-0.6461002528592097, y=-0.39202739711691237, z=0.0)
geometry_msgs.msg.Point(x=-0.6668224516543226, y=-0.4060128404405461, z=0.0)
geometry_msgs.msg.Point(x=-0.6875492280862225, y=-0.41999141730899936, z=0.0)
