geometry_msgs.msg.Point(x=-0.02396317388649649, y=0.0005339490647386924, z=0.0)
geometry_msgs.msg.Point(x=-0.06840287181432458, y=-0.004968370353189755, z=0.0)
geometry_msgs.msg.Point(x=-0.09327393541735418, y=-0.007500566435844291, z=0.0)
geometry_msgs.msg.Point(x=-0.11514512104599461, y=0.004609571684063951, z=0.0)
geometry_msgs.msg.Point(x=-0.13721695975379689, y=0.016349684163692757, z=0.0)
geometry_msgs.msg.Point(x=-0.1593696700448355, y=0.02793568287149384, z=0.0)
geometry_msgs.msg.Point(x=-0.18158341549303358, y=0.03940571478069188, z=0.0)
geometry_msgs.msg.Point(x=-0.20333253080735503, y=0.05173405358744532, z=0.0)
geometry_msgs.msg.Point(x=-0.22516633240223527, y=0.063911330380229, z=0.0)
geometry_msgs.msg.Point(x=-0.24701768160479887, y=0.07605656371550396, z=0.0)
geometry_msgs.msg.Point(x=-0.2689010742648712, y=0.08814381365147739, z=0.0)
geometry_msgs.msg.Point(x=-0.2905578739039889, y=0.10063465856416798, z=0.0)
geometry_msgs.msg.Point(x=-0.31224824287954434, y=0.11306446831969907, z=0.0)
geometry_msgs.msg.Point(x=-0.33396302591796356, y=0.1254530793441475, z=0.0)
geometry_msgs.msg.Point(x=-0.35568467541156323, y=0.13782948333716405, z=0.0)
geometry_msgs.msg.Point(x=-0.3774322648469557, y=0.15016011096231097, z=0.0)
geometry_msgs.msg.Point(x=-0.3991134785489372, y=0.16260746832552542, z=0.0)
geometry_msgs.msg.Point(x=-0.42086106798432965, y=0.17493733301120784, z=0.0)
geometry_msgs.msg.Point(x=-0.44283143574335426, y=0.18686665447803108, z=0.0)
geometry_msgs.msg.Point(x=-0.46499864188421824, y=0.19842595030457488, z=0.0)
geometry_msgs.msg.Point(x=-0.48698617578119396, y=0.2103232283138894, z=0.0)
geometry_msgs.msg.Point(x=-0.5090641180047122, y=0.2220518967015508, z=0.0)
geometry_msgs.msg.Point(x=-0.5312114877194993, y=0.23364857656185478, z=0.0)
geometry_msgs.msg.Point(x=-0.5533992932259046, y=0.2451681995362449, z=0.0)
geometry_msgs.msg.Point(x=-0.5754554916746848, y=0.256938066654989, z=0.0)
geometry_msgs.msg.Point(x=-0.5975502185664219, y=0.26863545452460613, z=0.0)
geometry_msgs.msg.Point(x=-0.6196804221432579, y=0.28026494078188335, z=0.0)
geometry_msgs.msg.Point(x=-0.6418289362672418, y=0.29186009476325836, z=0.0)
geometry_msgs.msg.Point(x=-0.6638809385489672, y=0.30363759127664736, z=0.0)
geometry_msgs.msg.Point(x=-0.6859588807724855, y=0.31536625966430876, z=0.0)
geometry_msgs.msg.Point(x=-0.7080555150128838, y=0.32705983283660345, z=0.0)
geometry_msgs.msg.Point(x=-0.7301666451031075, y=0.33872594018817637, z=0.0)
geometry_msgs.msg.Point(x=-0.7522827342998504, y=0.35038289226617536, z=0.0)
geometry_msgs.msg.Point(x=-0.7743408400972918, y=0.36214818174813246, z=0.0)
geometry_msgs.msg.Point(x=-0.7964096270472361, y=0.3738951606829417, z=0.0)
geometry_msgs.msg.Point(x=-0.818488713679951, y=0.3856215402522096, z=0.0)
geometry_msgs.msg.Point(x=-0.840570852070524, y=0.3973425792452261, z=0.0)
geometry_msgs.msg.Point(x=-0.8626049252748338, y=0.4091528821555883, z=0.0)
geometry_msgs.msg.Point(x=-0.884648916692182, y=0.4209456374582672, z=0.0)
geometry_msgs.msg.Point(x=-0.906698630155514, y=0.43272694866897865, z=0.0)
geometry_msgs.msg.Point(x=-0.9287540656648297, y=0.4444983416666517, z=0.0)
geometry_msgs.msg.Point(x=-0.9507709727311884, y=0.45634145097398715, z=0.0)
geometry_msgs.msg.Point(x=-0.9727993238895145, y=0.4681631979763168, z=0.0)
geometry_msgs.msg.Point(x=-0.9948478929436497, y=0.4799467980054217, z=0.0)
geometry_msgs.msg.Point(x=-1.0169143910752005, y=0.49169759163755344, z=0.0)
geometry_msgs.msg.Point(x=-1.0389442681124557, y=0.5035162868820251, z=0.0)
geometry_msgs.msg.Point(x=-1.0609939815757876, y=0.5152975980927366, z=0.0)
geometry_msgs.msg.Point(x=-1.0830772643755573, y=0.527017111206824, z=0.0)
geometry_msgs.msg.Point(x=-1.105207086482661, y=0.5386473604035658, z=0.0)
geometry_msgs.msg.Point(x=-1.12740061403505, y=0.550156302225453, z=0.0)
geometry_msgs.msg.Point(x=-1.1522667185315605, y=0.5527388523127641, z=0.0)
geometry_msgs.msg.Point(x=-1.1771442671200383, y=0.5552123020566526, z=0.0)
geometry_msgs.msg.Point(x=-1.2020351671491447, y=0.5575423191812163, z=0.0)
geometry_msgs.msg.Point(x=-1.2269401815583443, y=0.5597235631102038, z=0.0)
geometry_msgs.msg.Point(x=-1.2518566400595112, y=0.5617629002987954, z=0.0)
geometry_msgs.msg.Point(x=-1.2767853055921101, y=0.5636534642918107, z=0.0)
geometry_msgs.msg.Point(x=-1.301723126398283, y=0.5654143285758622, z=0.0)
geometry_msgs.msg.Point(x=-1.3266704839477619, y=0.5670363378773757, z=0.0)
geometry_msgs.msg.Point(x=-1.3516250894221535, y=0.5685408545013573, z=0.0)
geometry_msgs.msg.Point(x=-1.3765873242911901, y=0.5699156714163749, z=0.0)
geometry_msgs.msg.Point(x=-1.4015552812062104, y=0.5711798621090409, z=0.0)
geometry_msgs.msg.Point(x=-1.4265293416369467, y=0.5723181677900655, z=0.0)
geometry_msgs.msg.Point(x=-1.4515083611742021, y=0.573342032551416, z=0.0)
geometry_msgs.msg.Point(x=-1.4764923398179768, y=0.5742308570275512, z=0.0)
geometry_msgs.msg.Point(x=-1.5014808960985384, y=0.5749869300368644, z=0.0)
geometry_msgs.msg.Point(x=-1.526474030015887, y=0.575578208121847, z=0.0)
geometry_msgs.msg.Point(x=-1.5514705971608258, y=0.5759909583721381, z=0.0)
geometry_msgs.msg.Point(x=-1.5764698345938903, y=0.5761771156014746, z=0.0)
